;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genre;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;genres;platforms;synopsis;theme
35;Aa Harimanada;https://myanimelist.net/anime/8216/Aa_Harimanada;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ああ播磨灘;TV;23;Finished Airing;Apr 23, 1992 to Oct 1, 1992;Spring 1992;Unknown;['TV Tokyo'];None found, add some;E&G Films;Manga;;;Seinen;24 min. per ep.;PG-13 - Teens 13 or older;6.11;#8879;#10849;1,736;5;['Combat Sports', 'Martial Arts'];[];When Harimanada makes his grand entrance into the world of Sumo, he causes complete uproar throughout the entire arena. The novelty headmask is clearly not a good idea but not content with just ruffling the feathers of all the spectators, he sends the the entire Sumo Association into a frenzy when he arrogantly declares that he will surpass the legendary Futabayama's consecutive run of 69 victories. Should he fail to achieve such a feat, he will immediately retire all together.  Harimanada's impudent remarks cause a huge backlash as every high-ranking Yokuzuna wants the chance to knock him down and humiliate him for showing such arrogance.  Thus begins Harimanada's journey to the top as he battles to topple the entire Sumo hierarchy!;Ah Harima-nada, Aah Harimanada;Sports;
36;Chao Zhi Neng Zu Qiu;https://myanimelist.net/anime/36993/Chao_Zhi_Neng_Zu_Qiu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;超智能足球;TV;52;Finished Airing;Jun 2, 2010 to Jun 10, 2014;Summer 2010;Unknown;['None found', 'add some'];None found, add some;Puzzle Animation Studio Limited;Original;['Comedy', 'Sports'];Team Sports;;22 min. per ep.;G - All Ages;6.31;#7771;#10891;1,709;7;;[];As we enter the 21st century, the relationship between sports and technology is getting closer and closer. Sports products are enhanced by technological advances. The designs of footballs and football shoes require detailed information and computer tests in order to produce products that will allow us to reach the full potential and beyond. If we were only reliant on human testing, the standards would definitely fluctuate greatly. Thus, Professor GGO was brought in as consultant in the research, and as a result GGO robotic footballers were created.  (Source: GGO Football Website);AI Football GGO;;
37;2.43: Seiin Koukou Danshi Volley-bu Mini Anime;https://myanimelist.net/anime/46000/243__Seiin_Koukou_Danshi_Volley-bu_Mini_Anime;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;2.43 清陰高校男子バレー部 ミニアニメ;ONA;8;Finished Airing;Nov 1, 2020 to Nov 27, 2020;;;['None found', 'add some'];None found, add some;None found, add some;Novel;['Slice of Life', 'Sports'];Team Sports;;1 min. per ep.;None;5.34;#12199;#10916;1,688;1;;[];Mini anime introducing the characters, released on the official Twitter.;2.43: Seiin High School Boys Volleyball Team Mini Anime;;
38;Crush Gear Nitro;https://myanimelist.net/anime/7048/Crush_Gear_Nitro;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;クラッシュギアNitro;TV;50;Finished Airing;Feb 2, 2003 to Jan 25, 2004;Winter 2003;Unknown;['None found', 'add some'];None found, add some;Sunrise;Unknown;;Racing;;23 min. per ep.;PG-13 - Teens 13 or older;5.95;#9742;#10942;1,666;4;;[];Story about a young boy name: Mahha Masaru, who dreamt of having a crush gear fight with the others even though he doesn't have his very own crush gear!  One day, a sudden chance came to him and he got the legendary crush gear which look similer to the one that was used by Kouya Marino and finally he can go and paticipate in his own crush gear fight with his friends and foe!!;;Sports;
39;Sasuga no Sarutobi;https://myanimelist.net/anime/3806/Sasuga_no_Sarutobi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;さすがの猿飛;TV;69;Finished Airing;Oct 17, 1982 to Mar 11, 1984;Fall 1982;Sundays at 19:00 (JST);['Nihon Ad Systems', 'Asatsu DK'];None found, add some;Tsuchida Productions;Manga;['Adventure', 'Comedy', 'Romance', 'Sports'];Martial Arts;;25 min. per ep.;G - All Ages;7.13;#3460;#10963;1,655;12;;[];"Nikumaru, meaning ""meatball"" in Japanese, is a seventeen-year-old student at Ninja High School, a special school for the training of ninja. He is short and chubby, but he possesses a super technique known as the ""kamikaze"", where he stirs up a whirlwind with his feet. The series introduces his many adventures and pranks as Nikumaru meets with his rivals both in and out of school.  (Source: AnimeNfo)";Clever Sarutobi, Chubby Ninja;;
40;Miracle Giants Doumu-kun;https://myanimelist.net/anime/5273/Miracle_Giants_Doumu-kun;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ミラクル・ジャイアンツ童夢くん;TV;49;Finished Airing;Apr 2, 1989 to Mar 25, 1990;Spring 1989;Unknown;['Gallop', 'Yomiko Advertising'];None found, add some;None found, add some;Manga;;Team Sports;;25 min. per ep.;PG - Children;7.29;#2624;#11002;1,631;5;;[];Doumu Shinjou is the 10-year-old son of a legendary deceased player of the Yomiuri Giants. From his father he inherited a love of baseball and an incredible talent for the sport, although both his mother and his older sister try to get him to give it up. However, before dying, his father had the time to teach him one last trick- a magic shot. After his mother gives him the glove his father used, Doumu makes that shot in a training session of the Giants and is contracted immediately. With the support of the veteran players of the team, the Giants become unbeatable at home- none of the main batters of the Japanese professional league can overcome his magic shot. However, away games are another matter, as Doumu is just allowed to play at home, in the Tokyo Dome in which his father was consecrated. New rivals, but also friends (such as Melody Norman, an American girl who disguises herself as a boy because women aren't allowed to play baseball), step up to bat along the way during Doumu's journey. The Giants seem to winning the fight to conquer the league- until the arrival of the mysterious Don Carlos, a Spanish ex-bullfighter who plays for the Hiroshima Toyo Carp, and seems to have a past with Doumu's father. Will Doumu succeed in giving the league to the Giants?  (Source: Wikipedia, edited);Half a Hero, Miracle Giants Dome-kun;Sports;
41;Ore wa Teppei;https://myanimelist.net/anime/3827/Ore_wa_Teppei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;おれは鉄兵;TV;28;Finished Airing;Sep 12, 1977 to Mar 27, 1978;Fall 1977;Unknown;['Fuji TV'];None found, add some;Nippon Animation;Manga;['Action', 'Sports'];Combat Sports;Shounen;25 min. per ep.;PG-13 - Teens 13 or older;6.77;#5118;#11059;1,593;4;;[];Teppei, brought up by his father in the mountains, is an energetic boy who is as tough as weeds and acts as free as a bird. His life changes completely when he enrolls in high school, the first school he has ever attended. Despite his eccentric behavior and being a constant source of troubles, he is soon recognized for his talent in sports—especially in Kendo (the Japanese swordplay art)—and becomes the school's hero.  (Source: Nippon Animation);;;
42;2.43 Mini Anime: Volleyball Kouza;https://myanimelist.net/anime/45585/243_Mini_Anime__Volleyball_Kouza;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;「2.43　清陰高校男子バレー部」ミニアニメ　バレーボール講座編;ONA;10;Finished Airing;Nov 29, 2020 to Jan 3, 2021;;;['None found', 'add some'];None found, add some;None found, add some;Novel;;;;2 min. per ep.;None;5.18;#12642;#11061;1,592;5;['School', 'Team Sports'];[];Short episodes with super-deformed characters posted on the official Twitter account and the official YouTube channel.;;Sports;
43;Fantasista Stella;https://myanimelist.net/anime/24817/Fantasista_Stella;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ファンタジスタ ステラ;OVA;3;Finished Airing;Sep 18, 2014 to Feb 16, 2015;;;['Shogakukan'];None found, add some;Xebec;Manga;;Team Sports;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;5.83;#10297;#11072;1,582;3;;[];Teppei and teammate Keisuke Honda aim for the FIFA World Cup 2014 in Brazil.;;Sports;
44;Long Riders! Recap;https://myanimelist.net/anime/34367/Long_Riders_Recap;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ろんぐらいだぁす! 特別編｢わたしのサイクルアルバム｣;Special;1;Finished Airing;Nov 12, 2016;;;['None found', 'add some'];None found, add some;Actas;Manga;['Comedy', 'Slice of Life', 'Sports'];CGDCT;Shounen;23 min.;PG-13 - Teens 13 or older;5.72;#10741;#11093;1,570;0;;[];Recap of the first four episodes of the Long Riders series.;Long Riders! Episode 4.5;;
45;Taishou Yakyuu Musume. Specials;https://myanimelist.net/anime/8042/Taishou_Yakyuu_Musume_Specials;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;大正野球娘。今夜の私は浪漫ちっくストライク;Special;2;Finished Airing;Oct 7, 2009 to Jan 6, 2010;;;['None found', 'add some'];None found, add some;J.C.Staff;Light novel;;;;5 min. per ep.;PG-13 - Teens 13 or older;6.14;#8702;#11110;1,560;1;['School', 'Team Sports'];[];"The members of Ohka-kai heard of a rumor of an equipment called ""kondara"" (Japanese slang of a roller used to level the ground), which is essential to baseball. As they discuss what a Kondara is, the hot debate goes causes the excited members to get confused. Finally, Koume decides to look for a kondara, but Anna is also excited and cannot be counted on.";Taishou Baseball Girls, Kon-ya no Watashi wa Romantic Strike;Sports;
46;Akubi wo Suru ni wa Wake ga Aru;https://myanimelist.net/anime/38274/Akubi_wo_Suru_ni_wa_Wake_ga_Aru;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;あくびをするにはワケがある;Unknown;Unknown;Not yet aired;Not available;;;['None found', 'add some'];None found, add some;Gaina;Original;['Drama', 'Sports'];;;Unknown;None;N/A;N/A;#11139;1,537;0;;[];The pamphlet for the project describes the setting as Japan in 2093. A rural town that used to be the most prestigious town in the world has long since sunk 30 meters under the ocean's surface. The story is a tale of a girl who takes part in free diving (diving without the aid of equipment to breathe), and the emotional growth she experiences.  (Source: ANN);There Is a Reason That We Yawn;;
47;Gokiburi Taisou;https://myanimelist.net/anime/36157/Gokiburi_Taisou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ゴキブリ体操;ONA;1;Finished Airing;Aug 7, 2017;;;['None found', 'add some'];None found, add some;None found, add some;Original;['Avant Garde', 'Sports'];Music;;15 sec.;PG - Children;4.60;#13489;#11141;1,534;9;;[];Female humanoid cockroaches do calisthenics (though resembling normal dancing more).;;;
48;The☆Doraemons: Goal! Goal! Goal!!;https://myanimelist.net/anime/2631/The%E2%98%86Doraemons__Goal_Goal_Goal;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ザ☆ドラえもんズ ゴール！ゴール！ゴール！！;Movie;1;Finished Airing;Mar 9, 2002;;;['None found', 'add some'];None found, add some;Shin-Ei Animation;Manga;['Comedy', 'Fantasy', 'Sci-Fi', 'Sports'];Team Sports;;7 min.;PG - Children;6.19;#8425;#11162;1,521;0;;[];The Doraemons, a group of culturally different versions of the Doraemon, gather to play a game of soccer.  (Source: ANN);;;Kids, Shounen
49;White Fantasy;https://myanimelist.net/anime/28775/White_Fantasy;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;#KSWISS_ALLWHITE PROJECT 「WHITE FANTASY」;Special;1;Finished Airing;Dec 5, 2014;;;['None found', 'add some'];None found, add some;None found, add some;Other;['Fantasy', 'Sports'];;;2 min.;G - All Ages;5.57;#11417;#11195;1,505;1;;[];Animated short for K-Swiss Asia, a subsidiary of American footwear company K-Swiss.;K-Swiss All White Project;;
50;Futari no Joe;https://myanimelist.net/anime/4298/Futari_no_Joe;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ふたりのジョー;OVA;6;Finished Airing;May 25, 2003 to Sep 25, 2003;;;['None found', 'add some'];None found, add some;Office AO;Unknown;;Combat Sports;Shounen;28 min. per ep.;R - 17+ (violence & profanity);5.64;#11119;#11213;1,496;3;;[];"Joe Yuki, one of the coolest DJs in Shibuya, has a secret identity as the leader of gangs. Because of his traumatic childhood, he fiercely hates ""weaklings"" and sees winning as his only option in life. One night, an old man is being taunted by the kid known as ""the human punching bag."" The old man reminds Joe of his parents and childhood, and he uncontrollably challenges the kid to a fight. A fight in which he's defeated, and his pride is utterly shattered into pieces.  (Source: ANN)";Joe vs. Joe;Sports;
51;Hachigatsu no Cinderella Nine: Tsuzuku, Monogatari;https://myanimelist.net/anime/49913/Hachigatsu_no_Cinderella_Nine__Tsuzuku_Monogatari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;八月のシンデレラナイン つづく, 物語;Special;1;Finished Airing;Sep 25, 2021;;;['None found', 'add some'];None found, add some;TMS Entertainment;Game;;;;23 min.;PG-13 - Teens 13 or older;6.36;#7485;#11229;1,489;5;['School', 'Team Sports'];[];Special episode of Hachigatsu no Cinderella Nine (TV) sent to buyers of collector's edition of the Blu-ray.;Cinderella Nine Special, Hachigatsu no Cinderella Nine Episode 13;Sports;
52;Ginga e Kickoff!! Natsuyasumi Special;https://myanimelist.net/anime/15993/Ginga_e_Kickoff_Natsuyasumi_Special;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;夏休みスペシャル 銀河へキックオフ!!;Special;1;Finished Airing;Aug 25, 2012;;;['None found', 'add some'];None found, add some;None found, add some;Unknown;;Team Sports;;28 min.;PG - Children;6.02;#9388;#11247;1,480;0;;[];Clip show with soccer commentators providing commentary.;Ginga e Kickoff!! Special;Sports;
53;Karate Baka Ichidai;https://myanimelist.net/anime/7479/Karate_Baka_Ichidai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;空手バカ一代;TV;47;Finished Airing;Oct 3, 1973 to Sep 25, 1974;Fall 1973;Unknown;['None found', 'add some'];Discotek Media;TMS Entertainment;Manga;['Adventure', 'Sports'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;6.65;#5817;#11285;1,456;3;['Historical', 'Martial Arts'];[];"Failed kamikaze pilot Ken Asuka becomes a rough, tough hooligan who settles all of his problems with karate, until he learns about the legendary swordsman Musashi Miyamoto in the novels of Eiji Yoshikawa. Resolving to live his life like Musashi, he begins to take karate more seriously. Based on a manga by Ikki Kajiwara and Jiro Tsunoda, itself inspired by the real life of Yasunobu Oyama, the founder of the ""hard-knock"" Kyokushin Karate school.  (Source: The Anime Encyclopedia)";Ichidai the Karate Fool, The Fanatical Karate Generation;;
54;Burning Blood;https://myanimelist.net/anime/9177/Burning_Blood;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Ｂ・Ｂ BURNING BLOOD;OVA;3;Finished Airing;Apr 25, 1990 to Apr 25, 1991;;;['None found', 'add some'];None found, add some;Magic Bus;Manga;;Combat Sports;Shounen;42 min. per ep.;R+ - Mild Nudity;6.11;#8883;#11292;1,453;1;;[];"Ryo Takagi is a trumpet player on the verge of hitting it big with his band, but he's also a natural fighter whose blood starts burning when he fights seriously; this gave him the nickname B.B (""Burning Blood""). After suffering absolute defeat at the hands of a young man named Jin Moriyama, though, Ryo decides to trade in his trumpet for a pair of boxing gloves in order to have a rematch the way Moriyama wants it: In the boxing ring.  (Source: ANN)";;Sports;
55;Ring ni Kakero 1: Sekai Taikai-hen;https://myanimelist.net/anime/10346/Ring_ni_Kakero_1__Sekai_Taikai-hen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;リングにかけろ1 世界大会編;TV;6;Finished Airing;Apr 10, 2011 to Jun 12, 2011;Spring 2011;Unknown;['None found', 'add some'];None found, add some;Toei Animation;Manga;;Combat Sports;;24 min. per ep.;PG-13 - Teens 13 or older;6.37;#7418;#11331;1,435;2;;[];After defeating Black Shaft's makeshift Team USA and proving their worth to the Shadow Clan, Team Golden Japan Jr. will finally enter the World Jr. Boxing Tournament. In order to fulfill their goal of a perfect victory they'll have to take on teams from countries like Mexico, Italy, France, Germany, and the mysterious and godlike Team Greece.  (Source: ANN);Ring ni Kakero 1: World Tournament Chapter;Sports;
56;Shippuu! Iron Leaguer;https://myanimelist.net/anime/2758/Shippuu_Iron_Leaguer;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;疾風！ アイアンリーガー;TV;52;Finished Airing;Apr 6, 1993 to Mar 29, 1994;Spring 1993;Tuesdays at 18:00 (JST);['TV Tokyo', 'Sotsu'];None found, add some;Sunrise;Original;['Sci-Fi', 'Sports'];;;24 min. per ep.;PG-13 - Teens 13 or older;7.22;#2974;#11345;1,429;15;['Mecha', 'Team Sports'];[];"The Iron League: a place where teams of robots, under individual ""owners"", play various sports and duke it out in tournaments. Mach Windy is a member of Dark Prince, a team that doesn't play fair and fights dirty to win. Unsatisfied with the actions of his teammates, he defects against the will of Dark Prince's nefarious owner and joins Silver Prince: the weakest team in the league. Alongside faithful companions such as Magnum Ace and Bull Armor, Mach Windy and Silver Prince will battle against Dark Prince in games of soccer and baseball, and aim for the top!  (Source: Animeplanet)";Hurricane! Iron Leaguer;;
57;Blue Archive: Beautiful Day Dreamer;https://myanimelist.net/anime/53670/Blue_Archive__Beautiful_Day_Dreamer;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;【ブルアカ】「beautiful day dreamer」;ONA;1;Finished Airing;Nov 7, 2022;;;['None found', 'add some'];None found, add some;Yostar Pictures;Game;['Fantasy', 'Sports'];Video Game;;9 min.;PG-13 - Teens 13 or older;6.86;#4709;#11370;1,421;12;;[];The short centers on the Game Development Department of Millennium Science School, and shows Momoi being roped into various activities as she struggles to come up with ideas for a game's story.  (Source: ANN);;;
58;Dead Heat;https://myanimelist.net/anime/10780/Dead_Heat;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;デッドヒート;OVA;1;Finished Airing;Aug 7, 1987;;;['None found', 'add some'];None found, add some;Sunrise;Unknown;['Action', 'Sci-Fi', 'Sports'];Mecha;;31 min.;PG-13 - Teens 13 or older;5.39;#12044;#11427;1,390;0;;[];"Failed driver Makoto is ready to quit the business until he is approached by Hayami Go, who offers him a hyper-engine to change his fortunes. Claiming to be ""Japan's first 3D anime,"" this curio using the VHD-3D system features 21st-century youngsters racing ""FX"" machines - predictable crosses between motorcycles and mechas.  (Source: Anime Encyclopedia)";;;
59;Kinnikuman (Movie);https://myanimelist.net/anime/3273/Kinnikuman_Movie;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;キン肉マン (キン肉マン 奪われたチャンピオンベルト);Movie;1;Finished Airing;Jul 14, 1984;;;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Action', 'Comedy', 'Sports'];Combat Sports;Shounen;48 min.;PG-13 - Teens 13 or older;6.31;#7796;#11430;1,385;2;;[];Mari and Kinnikuman's Championship Belt are stolen by the Octopus Dragon and his minions. Now Kinnikuman and the other Justice Choujins must travel to Planet Metro and compete in a tournament in order to win them back.;Kinnikuman (1984),;;
60;Dankichi-jima no Olympic Taikai;https://myanimelist.net/anime/5814/Dankichi-jima_no_Olympic_Taikai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ダン吉島のオリムピック大会;Movie;1;Finished Airing;1932;;;['None found', 'add some'];None found, add some;None found, add some;Original;['Action', 'Sports'];;;2 min.;G - All Ages;4.26;#13635;#11441;1,378;0;;[];Short movie from 1932.;;;
61;Samurai Giants;https://myanimelist.net/anime/9916/Samurai_Giants;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;侍ジャイアンツ;TV;46;Finished Airing;Oct 7, 1973 to Sep 15, 1974;Fall 1973;Unknown;['Yomiuri Telecasting'];None found, add some;Madhouse, Tokyo Movie Shinsha;Manga;;Team Sports;Shounen;25 min. per ep.;PG-13 - Teens 13 or older;6.49;#6699;#11557;1,324;4;;[];Ban Banjou is an insolent wild boy who was raised on the rough sea in Tosa, southern Japan. He joined the Tokyo Yomiuri Giants in Japanese pro baseball league such a baseball pitcher noted for the blazing fastball and the worst control. He fights hard battles against his rival batters, developing his incredible pitching magics.;Star Pitcher;Sports;
62;Yakyuukyou no Uta;https://myanimelist.net/anime/10554/Yakyuukyou_no_Uta;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;野球狂の詩;TV;25;Finished Airing;Dec 23, 1977 to Mar 26, 1979;Winter 1978;Unknown;['Studio Jack'];None found, add some;Nippon Animation;Manga;['Action', 'Drama', 'Sports'];Team Sports;;46 min. per ep.;PG-13 - Teens 13 or older;6.63;#5905;#11575;1,315;10;;[];Against her insistence, Yuuki is drafted by the Tokyo Mets as the first woman player in the baseball league.;Song of Baseball Enthusiasts;;
63;Bamboo Blade: Fanfu-Fufe-Fo;https://myanimelist.net/anime/28813/Bamboo_Blade__Fanfu-Fufe-Fo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;バンブーブレード：ふぁんふ～ふふぇ～ふぉ;Special;2;Finished Airing;Apr 23, 2008 to Jun 25, 2008;;;['None found', 'add some'];None found, add some;AIC ASTA;Unknown;['Comedy', 'Sports'];;;3 min. per ep.;G - All Ages;5.61;#11241;#11581;1,312;1;['Combat Sports', 'Parody'];[];Bamboo Blade specials released on DVD volumes 4 and 6. Done in a chibi flash animation style and set to bizzare scenarios.;Bamboo Blade Specials;;
64;Rokudenashi Blues 1993;https://myanimelist.net/anime/9078/Rokudenashi_Blues_1993;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ろくでなしBLUES 1993;Movie;1;Finished Airing;Jul 24, 1993;;;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Action', 'Comedy', 'Drama', 'Sports'];;Shounen;1 hr. 24 min.;R - 17+ (violence & profanity);6.23;#8208;#11697;1,252;1;['Combat Sports', 'Delinquents', 'School'];[];Sequel to the Rokudenashi Blues movie.;Good-For-Nothing Blues 1993;;
65;Turkey!;https://myanimelist.net/anime/54028/Turkey;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Turkey!;Unknown;Unknown;Not yet aired;Not available;;;['Pony Canyon'];None found, add some;Bakken Record;Original;;;;Unknown;None;N/A;N/A;#11749;1,229;9;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;Sports;
66;Kinnikuman II Sei: Second Generations;https://myanimelist.net/anime/6310/Kinnikuman_II_Sei__Second_Generations;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;キン肉マンII世 second generations;Movie;1;Finished Airing;Jul 14, 2001;;;['None found', 'add some'];None found, add some;Toei Animation;Unknown;['Comedy', 'Sports'];Combat Sports;;30 min.;PG-13 - Teens 13 or older;6.38;#7386;#11768;1,220;0;;[];While the New Generation Choujins are taking part in Fan Appreciation Day, The Cyborg arrives, takes Meat hostage, and challenges Mantarou to a fight inside Tokyo Tower.  (Source: ANN);Kinnikuman 2nd Generation, Kinnikuman Nisei: Second Generations;;
67;Doubutsu Sumo Taikai;https://myanimelist.net/anime/5812/Doubutsu_Sumo_Taikai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;動物相撲大会;Movie;1;Finished Airing;1931;;;['None found', 'add some'];None found, add some;None found, add some;Original;['Action', 'Sports'];Combat Sports;;52 sec.;G - All Ages;4.69;#13408;#11784;1,213;0;;[];Short movie from 1931.;Dobutsu Sumo Taikai;;
68;Attack No.1 (1970);https://myanimelist.net/anime/9163/Attack_No1_1970;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;アタックNo.1 (1970);Movie;1;Finished Airing;Mar 21, 1970;;;['Tokyo Movie Shinsha'];None found, add some;None found, add some;Unknown;['Drama', 'Sports'];Team Sports;Shoujo;1 hr. 5 min.;PG-13 - Teens 13 or older;6.25;#8124;#11800;1,206;1;;[];The first recap film of Attack No.1 , it covers the first 6 episodes of the TV anime.  Kozue is a high school girl and an enthusiastic volleyball player. Her dream is to play on the Japanese national volleyball team. Over the course of the series she makes it from the school district league up to the Japanese volleyball finals, step by step until the international volleyball championship. But the faster and higher Kozue climbs, the more she is confronted with the dark side of success: too-high expectations, self-conceit, and envy.  (Source: ANN);Attack No.1 Movie 1;;
69;Zoku Attacker You! Kin Medal e no Michi;https://myanimelist.net/anime/11919/Zoku_Attacker_You_Kin_Medal_e_no_Michi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;続・アタッカーYOU 金メダルへの道;TV;52;Finished Airing;2008;?;Unknown;['None found', 'add some'];None found, add some;Knack Productions;Unknown;['Romance', 'Sports'];Team Sports;;23 min. per ep.;G - All Ages;6.17;#8560;#11903;1,165;2;;[];Young and ambitious girls strive to do their very best to become NO.1 team in the sport world of volleyball. Outside the court, they face the problem of termination if they don’t win along with family, love and friendship dilemmas.;New Attacker You!, Mila & Shiro;;
70;Doubutsu Olympic Taikai;https://myanimelist.net/anime/7498/Doubutsu_Olympic_Taikai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;動物オリムピック大會;Movie;1;Finished Airing;Sep 4, 1928;;;['None found', 'add some'];None found, add some;None found, add some;Original;['Comedy', 'Sports'];;;13 min.;G - All Ages;5.45;#11836;#11960;1,141;0;;[];Animals gather to compete in Olympic games. This animation was inspired by the 1928 Olympic Games held in Amsterdam.;Animal Olympic Games;;
71;Beat Shot!!;https://myanimelist.net/anime/7155/Beat_Shot;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ビートショット!!;OVA;1;Finished Airing;May 25, 1989;;;['AIC', 'Magic Bus'];None found, add some;Gainax;Manga;['Sports', 'Hentai'];;;27 min.;Rx - Hentai;4.86;N/A;#11979;1,133;1;;[];Expert linksman Akihiko joins the university golf club at the same time as maverick golfer Akikazu. The pair often tee off against each other, though Akikazu is distracted by the charms of his opponent's beautiful caddy, Misako.  (Source: AniDB);;;
72;Kimi to Fit Boxing;https://myanimelist.net/anime/49664/Kimi_to_Fit_Boxing;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;キミとフィットボクシング;TV;12;Finished Airing;Oct 1, 2021 to Dec 17, 2021;Fall 2021;Fridays at 21:54 (JST);['None found', 'add some'];None found, add some;Imagineer, Story Effect;Game;;;;3 min. per ep.;PG-13 - Teens 13 or older;N/A;#20661;#11987;1,130;7;;[];Kimi to Fit Boxing is a short Japanese anime television series adaptation of the Nintendo Switch game named Fitness Boxing.  (Source: Wikipedia);Fitness Boxing, Fit Boxing;Sports;
73;Dokaben;https://myanimelist.net/anime/3825/Dokaben;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;ドカベン;TV;163;Finished Airing;Oct 6, 1976 to Dec 26, 1979;Fall 1976;Wednesdays at 19:00 (JST);['Fuji TV', 'Tsuchida Productions'];None found, add some;Nippon Animation;Unknown;['Action', 'Sports'];;Shounen;25 min. per ep.;PG-13 - Teens 13 or older;6.43;#7081;#12031;1,113;4;['School', 'Team Sports'];[];"Tarou ""Dokaben"" Yamada, who was a judoist while at junior high, enters Meikun High School and is talked into joining the baseball club. He displays his superb athletic abilities in baseball and becomes well-known as a hard hitter. He and his unique teammates establish Meikun a solid position as No.1 in the High School Baseball Championship games.  (Source: Nippon Animation)";;;
